record_id,source_type,date,reference_id,description,net_amount,vat_amount,gross_amount,counterparty_ref,country,category,vat_code
REC-00001,sale,2025-03-11,496356,VANILLA SCENT CANDLE JEWELLED BOX,68.58,13.72,82.3,14047,United Kingdom,sales,SR
REC-00002,sale,2025-02-09,490753,RED POLKA DOT TISSUE BOX,-,3.0,18.0,17047,United Kingdom,sales,SR
REC-00003,sale,Q1-2025,545530,JUMBO BAG WOODLAND ANIMALS,19.5,3.9,23.4,17416,United Kingdom,sales,SR
REC-00004,sale,2025-03-04,554079,SET OF 4 JAM JAR MAGNETS,4.16,0.83,4.99,14546,United Kingdom,sales,SR
REC-00005,sale,2025-01-09,540977,VINTAGE PAISLEY STATIONERY SET,10.04,2.01,12.05,UNKNOWN,United Kingdom,sales,SR
REC-00006,sale,2025-03-28,526411,SMALL GLASS HEART TRINKET POT,16.8,3.36,20.16,15834,United Kingdom,sales,SR
REC-00007,sale,2025-03-10,521912,CIRCUS PARADE LUNCH BOX,3.9,0.0,3.9,15005,United Kingdom,sales,ZR
REC-00008,sale,2025-03-12,531792,TOXIC AREA  DOOR HANGER,2.9,0.58,3.48,14899,United Kingdom,sales,SR
REC-00009,sale,2025-01-13,555249,GARDENERS KNEELING PAD KEEP CALM,1.65,0.33,1.98,17472,United Kingdom,sales,SR
REC-00010,sale,2025-02-10,515339,WRAP WEDDING DAY,10.08,-0.96,12.1,UNKNOWN,United Kingdom,sales,SR
REC-00011,sale,2025-02-03,550517,GLAMOROUS  MUG,15.0,3.0,18.0,14352,United Kingdom,sales,SR
REC-00012,sale,2025-03-25,523211,DOORMAT HEARTS,15.9,3.18,19.08,16465,United Kingdom,sales,SR
REC-00013,sale,2025-02-27,539736,RED SPOTTY BISCUIT TIN,8.47,1.69,10.16,UNKNOWN,United Kingdom,sales,SR
REC-00014,sale,2025-03-15,547720,WOOD BLACK BOARD ANT WHITE FINISH,31.6,6.32,37.92,14209,United Kingdom,sales,SR
REC-00015,sale,2025-02-10,533530,HEADS AND TAILS SPORTING FUN,15.0,3.0,18.0,16634,United Kingdom,sales,SR
REC-00016,sale,2025-01-21,580893,SET/5 RED RETROSPOT LID GLASS BOWLS,2.95,0.59,3.54,17290,United Kingdom,sales,SR
REC-00017,sale,2025-02-19,565738,JUMBO BAG RED RETROSPOT,104.0,20.8,124.8,14667,United Kingdom,sales,SR
REC-00018,sale,2025-01-06,494028,STRAWBRY SCENTED VOTIVE CANDLE,6.96,1.39,8.35,17113,United Kingdom,sales,SR
REC-00019,sale,2025-03-16,530818,SET OF 3 BABUSHKA STACKING TINS,4.95,0.0,4.95,13772,United Kingdom,sales,ZR
REC-00020,sale,2025-02-26,558084,RABBIT NIGHT LIGHT,12.48,2.5,14.98,14837,United Kingdom,sales,SR
REC-00021,sale,2025-03-10,538184,DOORMAT ENGLISH ROSE,15.9,0.0,15.9,17880,United Kingdom,sales,ZR
REC-00022,sale,2025-01-31,539484,CHILDREN'S CIRCUS PARADE MUG,19.8,3.96,23.76,,United Kingdom,sales,SR
REC-00023,sale,2025-03-28,531782,POTTING SHED SOW 'N' GROW SET,4.25,0.85,5.1,16021,United Kingdom,sales,SR
REC-00024,sale,2025-03-21,497357,CERAMIC BIRDHOUSE FINCH BLUE ROOF,2.95,0.59,3.54,UNKNOWN,United Kingdom,sales,SR
REC-00025,sale,2025-03-11,549007,PACK OF 72 SKULL CAKE CASES,13.2,0.0,13.2,17470,United Kingdom,sales,EXEMPT
REC-00026,sale,2025-01-17,550301,LOVE BUILDING BLOCK WORD,5.95,1.19,7.14,17243,United Kingdom,sales,SR
REC-00027,sale,,580983,HOT WATER BOTTLE I AM SO POORLY,21.58,4.32,25.9,UNKNOWN,United Kingdom,sales,SR
REC-00028,sale,2025-01-04,576355,COLOUR GLASS T-LIGHT HOLDER HANGING,46.8,9.36,56.16,13089,United Kingdom,sales,SR
REC-00029,sale,2025-01-14,491970,TEA COSY BLUE STRIPE,5.17,0.0,5.17,UNKNOWN,United Kingdom,sales,ZR
REC-00030,sale,2025-03-03,528145,PACK OF 60 DINOSAUR CAKE CASES,3.84,0.77,4.61,UNKNOWN,United Kingdom,sales,SR
REC-00031,sale,2025-03-08,567383,SPOTTY PINK DUCK DOORSTOP,25.5,0.0,25.5,18180,United Kingdom,sales,ZR
REC-00032,sale,2025-03-28,548663,STRAWBERRY LUNCH BOX WITH CUTLERY,9.92,1.98,11.9,UNKNOWN,United Kingdom,sales,SR
REC-00033,sale,2025-01-29,573808,JUMBO BAG VINTAGE DOILY,8.32,1.66,9.98,14419,United Kingdom,sales,SR
REC-00034,sale,2025-02-03,579512,GROW A FLYTRAP OR SUNFLOWER IN TIN,7.5,0.0,7.5,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00035,sale,2025-02-12,576770,POLYESTER FILLER PAD 45x45cm,3.1,0.62,3.72,13926,United Kingdom,sales,SR
REC-00036,sale,2025-01-17,552240,CLASSIC FRENCH STYLE BASKET GREEN,23.7,4.74,28.44,13723,United Kingdom,sales,SR
REC-00037,sale,2025-01-13,510792,DOOR MAT UNION FLAG,14.98,0.0,14.98,15867,United Kingdom,sales,ZR
REC-00038,sale,2025-02-12,547909,SET/5 RED RETROSPOT LID GLASS BOWLS,5.9,1.18,7.08,15033,United Kingdom,sales,SR
REC-00039,sale,2025-01-21,495507,60 TEATIME FAIRY CAKE CASES,4.95,0.0,4.95,14514,United Kingdom,sales,ZR
REC-00040,sale,2025-03-01,490719,SET OF 6 KASHMIR FOLKART BAUBLES,8.5,1.7,10.2,13042,United Kingdom,sales,SR
REC-00041,sale,2025-02-09,489597,HOME SWEET HOME METAL SIGN,6.04,1.21,7.25,,United Kingdom,sales,SR
REC-00042,sale,2025-03-17,562200,ALARM CLOCK BAKELIKE IVORY,75.0,15.0,90.0,,United Kingdom,sales,SR
REC-00043,sale,2025-03-04,526738,VINTAGE PAISLEY STATIONERY SET,5.02,1.0,6.02,UNKNOWN,United Kingdom,sales,SR
REC-00044,sale,2025-01-29,577535,WALL ART VINTAGE HEART,4.95,0.99,5.94,14071,United Kingdom,sales,SR
REC-00045,sale,2025-03-17,503355,WHITE METAL LANTERN,30.0,6.0,36.0,12913,United Kingdom,sales,SR
REC-00046,sale,2025-03-13,535676,HAND WARMER OWL DESIGN,25.2,5.04,30.24,15037,United Kingdom,sales,SR
REC-00047,sale,2025-02-04,493872,HEART FILIGREE DOVE  SMALL,30.0,6.0,36.0,16296,United Kingdom,sales,SR
REC-00048,sale,2025-01-27,537405,SHOE SHINE BOX,9.95,1.99,11.94,17841,United Kingdom,sales,SR
REC-00049,sale,2025-03-03,515287,LUNCH BOX WITH CUTLERY RETROSPOT,5.06,1.01,6.07,UNKNOWN,United Kingdom,sales,SR
REC-00050,sale,2025-01-13,522956,ASSORTED COLOUR BIRD ORNAMENT,13.52,2.7,16.22,13015,United Kingdom,sales,SR
REC-00051,sale,2025-01-18,497795,RED SPOTTY BOWL,10.0,2.0,12.0,16954,United Kingdom,sales,SR
REC-00052,sale,2025-01-01,581188,LUNCH BAG WOODLAND,16.5,3.3,19.8,17735,United Kingdom,sales,SR
REC-00053,sale,2025-03-12,571456,JUMBO BAG PEARS,8.32,1.98,9.98,16729,United Kingdom,sales,SR
REC-00054,sale,2025-02-28,568346,PAINT YOUR OWN CANVAS SET,6.58,0.0,6.58,14096,United Kingdom,sales,EXEMPT
REC-00055,sale,2025-03-05,494640,PACK OF 12 HEARTS DESIGN TISSUES,3.48,0.7,4.18,17801,United Kingdom,sales,SR
REC-00056,sale,2025-03-12,552469,PENNY FARTHING BIRTHDAY CARD,TBC,1.01,6.05,12867,United Kingdom,sales,SR
REC-00057,sale,2025-02-11,526868,POTTING SHED SEED ENVELOPES,1.25,0.25,1.5,15016,United Kingdom,sales,SR
REC-00058,sale,2025-02-20,539750,RIBBON REEL MAKING SNOWMEN,2.51,2.1,3.01,UNKNOWN,United Kingdom,sales,SR
REC-00059,sale,2025-01-13,532673,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",2.95,0.59,3.54,15038,United Kingdom,sales,SR
REC-00060,sale,2025-01-10,503966,POTTING SHED ROSE CANDLE,5.9,1.18,7.08,14548,United Kingdom,sales,SR
REC-00061,sale,2025-03-01,502746,WHITE WITH BLACK CATS BOWL,4.98,0.0,4.98,UNKNOWN,United Kingdom,sales,EXEMPT
REC-00062,sale,2025-02-12,565917,PACK OF 12 PINK PAISLEY TISSUES,0.83,0.17,10.06,UNKNOWN,United Kingdom,sales,SR
REC-00063,sale,2025-02-20,506564,DECORATIVE ROSE BATHROOM BOTTLE,15.0,3.0,18.0,16096,United Kingdom,sales,SR
REC-00064,sale,2025-03-10,525882,36 PENCILS TUBE RED RETROSPOT,2.51,0.5,3.01,UNKNOWN,United Kingdom,sales,SR
REC-00065,sale,2025-02-26,515801,RECIPE BOX BLUE SKETCHBOOK DESIGN,2.95,0.0,2.95,17965,United Kingdom,sales,ZR
