issue_id,rule_id,record_id,finding_id,finding_summary,row_index,issue_type,issue_category,status,risk_level,determinism_type,review_state,detected_at,column,field_names,detected_value,expected_value,evidence_expected,checked_column,value,observed_value,anomaly_score,lower_bound,upper_bound,reason,method,message,why_it_matters,possible_vat_review_impact,recommended_manual_check,trigger_reason,trigger_rule,fields_to_check,suggested_action,review_note,date,description,net_amount,vat_amount,category
ISSUE-VR013-ROW-1988-DESCRIPTION,VR013,ROW-1988,ISSUE-VR013-ROW-1988-DESCRIPTION,row 1988: review support detail is missing,1988,blank_description,Digital record completeness,Review required,Medium,Deterministic,open,2026-04-15T03:01:18Z,description,description,,A short descriptive transaction narrative.,"Invoice, receipt, or transaction note",description,,,,,,,,Description is blank.,A record may be structurally valid but still too unclear to review confidently when its description is blank.,The user may need additional context before deciding whether the transaction should remain in the review set.,Check the source evidence and add a short meaningful description of the transaction.,The description field is blank in row 1988.,The review-support rule flagged missing context in `description`.,description,Check the source record and add enough context for the transaction to be reviewed with confidence.,"This does not automatically make the record invalid, but it reduces review clarity and traceability.",19/03/2025,,52205.05,0.0,RM Cost Reimbursable
ISSUE-VR013-ROW-2132-DESCRIPTION,VR013,ROW-2132,ISSUE-VR013-ROW-2132-DESCRIPTION,row 2132: review support detail is missing,2132,blank_description,Digital record completeness,Review required,Medium,Deterministic,open,2026-04-15T03:01:18Z,description,description,,A short descriptive transaction narrative.,"Invoice, receipt, or transaction note",description,,,,,,,,Description is blank.,A record may be structurally valid but still too unclear to review confidently when its description is blank.,The user may need additional context before deciding whether the transaction should remain in the review set.,Check the source evidence and add a short meaningful description of the transaction.,The description field is blank in row 2132.,The review-support rule flagged missing context in `description`.,description,Check the source record and add enough context for the transaction to be reviewed with confidence.,"This does not automatically make the record invalid, but it reduces review clarity and traceability.",26/03/2025,,46049.28,0.0,Contractor Costs
ISSUE-VR008-ROW-336,VR008,ROW-336,ISSUE-VR008-ROW-336,row 336: repeated row detected,336,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 336.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,28/03/2025,RIS 3 Development,700000.0,0.0,TA Cost AUC - Programme
ISSUE-VR008-ROW-337,VR008,ROW-337,ISSUE-VR008-ROW-337,row 337: repeated row detected,337,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 337.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,28/03/2025,RIS 3 Development,700000.0,0.0,TA Cost AUC - Programme
ISSUE-VR008-ROW-418,VR008,ROW-418,ISSUE-VR008-ROW-418,row 418: repeated row detected,418,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 418.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,28/03/2025,Operate General Management Costs,486933.48,0.0,TA Cost AUC – Non SRN
ISSUE-VR008-ROW-419,VR008,ROW-419,ISSUE-VR008-ROW-419,row 419: repeated row detected,419,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 419.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,28/03/2025,Operate General Management Costs,486933.48,0.0,TA Cost AUC – Non SRN
ISSUE-VR008-ROW-1114,VR008,ROW-1114,ISSUE-VR008-ROW-1114,row 1114: repeated row detected,1114,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 1114.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,13/03/2025,#,118978.37,0.0,Estates PFI Unitary
ISSUE-VR008-ROW-1115,VR008,ROW-1115,ISSUE-VR008-ROW-1115,row 1115: repeated row detected,1115,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 1115.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,13/03/2025,#,118978.37,0.0,Estates PFI Unitary
ISSUE-VR008-ROW-1116,VR008,ROW-1116,ISSUE-VR008-ROW-1116,row 1116: repeated row detected,1116,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 1116.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,13/03/2025,#,118978.37,0.0,Estates PFI Unitary
ISSUE-VR008-ROW-1117,VR008,ROW-1117,ISSUE-VR008-ROW-1117,row 1117: repeated row detected,1117,exact_duplicate_row,Duplicate transaction risk,Non-compliant,High,Deterministic,open,2026-04-15T03:01:18Z,,,,,Original spreadsheet export or source transaction evidence,,,,,,,,,Exact duplicate row detected in the dataset.,Exact duplicated records can lead to repeated inclusion in review and preparation work.,The transaction may be overstated or counted more than once until the duplicate is resolved.,"Compare the repeated rows and confirm whether one should be removed, excluded, or annotated as a legitimate repeat.",The full record appears more than once in the uploaded dataset at row 1117.,The validation check compares rows exactly and flags records that are duplicated.,full row,Confirm whether the repeated record is a legitimate repeat or an accidental duplicate entry.,This is a high-priority record-quality issue. Resolve it or document why the repeated row is acceptable before treating it as review-complete.,13/03/2025,#,118978.37,0.0,Estates PFI Unitary
