date,invoice_reference,description,net_amount,vat_amount,gross_amount,counterparty_ref,document_reference,category,vat_rate,vat_treatment,country,quantity,unit_price,month_key,calibration_group,direction_multiplier,source_dataset
01/12/2010,536365,WHITE HANGING HEART T-LIGHT HOLDER,15.3,3.06,18.36,United Kingdom,DOC-85123A-2116C22F,Home goods,0.2,standard_rate_goods,United Kingdom,6,2.55,2010-12,goods_standard,1.0,uci_online_retail_like_seed
01/12/2010,536366,WHITE METAL LANTERN,40.68,8.14,48.82,United Kingdom,DOC-71053-6C475B87,Home goods,0.2,standard_rate_goods,United Kingdom,12,3.39,2010-12,goods_standard,1.0,uci_online_retail_like_seed
02/12/2010,536367,CREAM CUPID HEARTS COAT HANGER,22.0,0.0,22.0,France,DOC-84406B-01B683F4,Export sale,0.0,zero_rated_export,France,8,2.75,2010-12,exports_zero,1.0,uci_online_retail_like_seed
03/12/2010,536368,ROUND SNACK BOXES SET OF4 WOODLAND,29.5,0.0,29.5,Germany,DOC-22326-48AE8C26,Hospitality supplies,0.0,zero_rated_export,Germany,10,2.95,2010-12,exports_zero,1.0,uci_online_retail_like_seed
05/12/2010,536369,HAND WARMER UNION JACK,37.0,1.85,38.85,United Kingdom,DOC-22633-CF9ECAAB,Home goods,0.05,reduced_rate_goods,United Kingdom,20,1.85,2010-12,goods_standard,1.0,uci_online_retail_like_seed
04/01/2011,536370,HAND WARMER RED POLKA DOT,34.63,1.73,36.36,United Kingdom,DOC-22632-65663106,Home goods,0.05,reduced_rate_goods,United Kingdom,18,1.85,2011-01,goods_standard,1.04,uci_online_retail_like_seed
12/01/2011,536371,JUMBO BAG RED RETROSPOT,41.18,8.24,49.42,United Kingdom,DOC-85099B-310DB41E,Retail goods,0.2,standard_rate_goods,United Kingdom,24,1.65,2011-01,goods_standard,1.04,uci_online_retail_like_seed
18/01/2011,536372,HOME BUILDING BLOCK WORD,30.34,0.0,30.34,Spain,DOC-21754-A889937A,Export sale,0.0,zero_rated_export,Spain,5,5.95,2011-01,exports_zero,1.02,uci_online_retail_like_seed
27/01/2011,536373,REX CASH+CARRY JUMBO SHOPPER,29.64,5.93,35.57,United Kingdom,DOC-21034-5B00486D,General merchandise,0.2,standard_rate_goods,United Kingdom,30,0.95,2011-01,goods_standard,1.04,uci_online_retail_like_seed
03/02/2011,536374,RED WOOLLY HOTTIE WHITE HEART,16.66,3.33,19.99,United Kingdom,DOC-84029E-0BACCCAE,General merchandise,0.2,standard_rate_goods,United Kingdom,4,4.25,2011-02,goods_standard,0.98,uci_online_retail_like_seed
10/02/2011,536375,POSTAGE,18.18,0.0,18.18,France,DOC-POST-D8ACC4EC,Logistics,0.0,zero_rated_export,France,1,18.0,2011-02,exports_zero,1.01,uci_online_retail_like_seed
18/02/2011,536376,PAPER CHAIN KIT 50'S CHRISTMAS,46.26,9.25,55.51,United Kingdom,DOC-22086-D29ABB08,General merchandise,0.2,standard_rate_goods,United Kingdom,16,2.95,2011-02,goods_standard,0.98,uci_online_retail_like_seed
02/03/2011,536377,WHITE HANGING HEART T-LIGHT HOLDER,103.68,20.74,124.42,United Kingdom,DOC-85123A-2116C22F,Home goods,0.2,standard_rate_goods,United Kingdom,40,2.4,2011-03,goods_standard,1.08,uci_online_retail_like_seed
11/03/2011,536378,RECORD FRAME 7 SINGLE SIZE,13.23,0.0,13.23,Belgium,DOC-22041-0BCFDEDD,Export sale,0.0,zero_rated_export,Belgium,6,2.1,2011-03,exports_zero,1.05,uci_online_retail_like_seed
18/03/2011,536379,PARTY BUNTING,75.33,15.07,90.4,United Kingdom,DOC-47566-C5C84DAC,General merchandise,0.2,standard_rate_goods,United Kingdom,15,4.65,2011-03,goods_standard,1.08,uci_online_retail_like_seed
25/03/2011,536380,HAND WARMER OWL DESIGN,49.95,2.5,52.45,United Kingdom,DOC-22865-2796F2D2,Home goods,0.05,reduced_rate_goods,United Kingdom,25,1.85,2011-03,goods_standard,1.08,uci_online_retail_like_seed
28/03/2011,C536381,WHITE HANGING HEART T-LIGHT HOLDER,-16.52,-3.3,-19.82,United Kingdom,DOC-85123A-2116C22F,Home goods,0.2,standard_rate_goods,United Kingdom,-6,2.55,2011-03,goods_standard,1.08,uci_online_retail_like_seed
29/03/2011,C536382,PAPER CHAIN KIT 50'S CHRISTMAS,-12.74,-2.55,-15.29,United Kingdom,DOC-22086-D29ABB08,General merchandise,0.2,standard_rate_goods,United Kingdom,-4,2.95,2011-03,goods_standard,1.08,uci_online_retail_like_seed
